Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
HIIT,5/19/2025 5:16,FALSE,HIIT - Custom,0,21,0:06,93,114,--,--,--,--,--,--,--,--,--,--,--,0,--,--,94,47,8,--,No,05:54.3,1,--,--,--,--,--,--,--,--,0:04:00,05:54.3,--,--
Strength Training,5/16/2025 8:57,FALSE,Strength,0,137,0:38,101,163,--,--,--,--,--,--,--,--,--,--,--,0,--,--,824,412,29,-6,No,0:37:18,1,--,--,--,--,--,--,--,--,0:28:47,0:37:18,--,--
HIIT,5/16/2025 8:49,FALSE,HIIT - Custom,0,20,0:06,97,118,--,--,--,--,--,--,--,--,--,--,--,0,--,--,66,33,9,-1,No,05:20.3,1,--,--,--,--,--,--,--,--,04:02.9,05:20.3,--,--
Strength Training,5/15/2025 6:03,FALSE,Strength,0,187,0:36,119,162,--,--,--,--,--,--,--,--,--,--,--,0,--,--,972,486,32,-6,No,0:35:54,1,--,--,--,--,--,--,--,--,0:28:44,0:35:54,--,--
HIIT,5/15/2025 5:53,FALSE,HIIT - Custom,0,38,0:10,100,125,--,--,--,--,--,--,--,--,--,--,--,0,--,--,86,43,8,-2,No,09:24.9,1,--,--,--,--,--,--,--,--,0:04:00,09:24.9,--,--
Running,5/14/2025 6:55,FALSE,South Miami Running,5.15,292,0:34,149,156,177,189,6:31,5:42,2,--,0.85,9,7.7,254,193,0,196,233,"6,004",--,--,-10,No,01:01.0,6,--,--,--,--,--,--,--,--,0:33:33,0:33:52,3,6
Strength Training,5/14/2025 6:05,FALSE,Strength,0,184,0:40,115,161,--,--,--,--,--,--,--,--,--,--,--,0,--,--,912,456,32,-8,No,0:39:11,1,--,--,--,--,--,--,--,--,0:28:38,0:39:16,--,--
HIIT,5/14/2025 5:56,FALSE,HIIT - Custom,0,22,0:07,96,117,--,--,--,--,--,--,--,--,--,--,--,0,--,--,70,35,9,-1,No,06:04.2,1,--,--,--,--,--,--,--,--,04:02.4,06:04.2,--,--
Strength Training,5/13/2025 7:13,FALSE,Strength,0,284,1:35,97,139,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,250",621,40,-12,No,1:34:03,1,--,--,--,--,--,--,--,--,1:20:35,1:34:04,--,--
HIIT,5/13/2025 7:03,FALSE,HIIT - Custom,0,33,0:09,100,127,--,--,--,--,--,--,--,--,--,--,--,0,--,--,114,57,9,-2,No,08:33.0,1,--,--,--,--,--,--,--,--,04:04.2,08:33.0,--,--
Strength Training,5/12/2025 8:31,FALSE,Strength,0,150,0:40,104,135,--,--,--,--,--,--,--,--,--,--,--,0,--,--,894,447,25,-3,No,0:39:31,1,--,--,--,--,--,--,--,--,0:30:09,0:39:31,--,--
HIIT,5/12/2025 8:24,FALSE,HIIT - Custom,0,24,0:06,101,119,--,--,--,--,--,--,--,--,--,--,--,0,--,--,84,42,8,--,No,05:47.3,1,--,--,--,--,--,--,--,--,0:04:00,05:47.3,--,--
Running,5/11/2025 9:53,FALSE,Coral Gables Running,7.89,420,0:46,168,182,178,190,5:43,4:45,4,2,0.98,8.5,8.3,245,226,0,226,297,"8,038",--,--,-15,No,00:04.1,10,--,--,--,--,--,--,--,--,0:44:58,0:46:09,1,5
HIIT,5/11/2025 9:32,FALSE,HIIT - Custom,0,24,0:06,104,123,--,--,--,--,--,--,--,--,--,--,--,0,--,--,104,52,8,-1,No,05:36.8,1,--,--,--,--,--,--,--,--,0:04:00,05:36.8,--,--
Yoga,5/11/2025 8:44,FALSE,Yoga,--,129,0:47,96,127,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-9,No,0:46:47,1,15,6,22,2,89,91,79,99,0:46:47,0:46:47,--,--
Pilates,5/10/2025 9:18,FALSE,Pilates,0,54,0:13,107,119,--,--,--,--,--,--,--,--,--,--,--,0,--,--,60,30,13,-2,No,0:12:53,1,--,--,--,--,--,--,--,--,0:12:53,0:12:53,--,--
Strength Training,5/10/2025 8:38,FALSE,Strength,0,201,0:38,122,148,--,--,--,--,--,--,--,--,--,--,--,0,--,--,690,345,19,-8,No,0:37:20,1,--,--,--,--,--,--,--,--,0:27:26,0:37:20,--,--
HIIT,5/10/2025 8:30,FALSE,HIIT - Custom,0,24,0:07,99,118,--,--,--,--,--,--,--,--,--,--,--,0,--,--,96,48,9,-1,No,06:34.3,1,--,--,--,--,--,--,--,--,04:06.5,06:34.3,--,--
Walking,5/9/2025 16:55,FALSE,Coral Gables Walking,2.07,96,0:27,103,115,117,241,12:35,3:29,7,2,0.68,--,--,--,--,0,--,--,"3,068",--,--,-2,No,00:08.3,4,--,--,--,--,--,--,--,--,0:25:32,0:26:04,7,16
